127.0.0.1 - - [18/Apr/2026 04:45:59] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:46:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:46:54] "GET /assets/index-BoSt5e7b.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:46:54] "GET /assets/index-DhH1XJAz.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:26] "GET /assets/index-DhH1XJAz.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:26] "GET /assets/index-BoSt5e7b.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:32] "GET /assets/index-BoSt5e7b.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:47:32] "GET /assets/index-DhH1XJAz.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Apr/2026 04:48:51] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [18/Apr/2026 04:48:51] "GET /assets/index-BoSt5e7b.js HTTP/1.1" 304 -
127.0.0.1 - - [18/Apr/2026 04:48:51] "GET /assets/index-DhH1XJAz.css HTTP/1.1" 304 -
Serving HTTP on 127.0.0.1 port 50149 (http://127.0.0.1:50149/) ...

Keyboard interrupt received, exiting.
